Date,New Cases,Total Cases
1/21/20,0.0,0.0
1/22/20,0.0,0.0
1/23/20,0.0,0.0
1/24/20,2.0,2.0
1/25/20,1.0,3.0
1/26/20,0.0,3.0
1/27/20,0.0,3.0
1/28/20,1.0,4.0
1/29/20,1.0,5.0
1/30/20,0.0,5.0
1/31/20,0.0,5.0
2/1/20,1.0,6.0
2/2/20,0.0,6.0
2/3/20,0.0,6.0
2/4/20,0.0,6.0
2/5/20,0.0,6.0
2/6/20,0.0,6.0
2/7/20,0.0,6.0
2/8/20,5.0,11.0
2/9/20,0.0,11.0
2/10/20,0.0,11.0
2/11/20,0.0,11.0
2/12/20,0.0,11.0
2/13/20,0.0,11.0
2/14/20,0.0,11.0
2/15/20,1.0,12.0
2/16/20,0.0,12.0
2/17/20,0.0,12.0
2/18/20,0.0,12.0
2/19/20,0.0,12.0
2/20/20,0.0,12.0
2/21/20,0.0,12.0
2/22/20,0.0,12.0
2/23/20,0.0,12.0
2/24/20,0.0,12.0
2/25/20,2.0,14.0
2/26/20,4.0,18.0
2/27/20,20.0,38.0
2/28/20,19.0,57.0
2/29/20,43.0,100.0
3/1/20,30.0,130.0
3/2/20,61.0,191.0
3/3/20,21.0,212.0
3/4/20,73.0,285.0
3/5/20,138.0,423.0
3/6/20,190.0,613.0
3/7/20,325.0,938.0
3/8/20,177.0,1115.0
3/9/20,286.0,1401.0
3/10/20,372.0,1773.0
3/11/20,508.0,2281.0
3/12/20,0.0,2281.0
3/13/20,1380.0,3661.0
3/14/20,808.0,4469.0
3/15/20,30.0,4499.0
3/16/20,2134.0,6633.0
3/17/20,1019.0,7652.0
3/18/20,1391.0,9043.0
3/19/20,1828.0,10871.0
3/20/20,1741.0,12612.0
3/21/20,1670.0,14282.0
3/22/20,2251.0,16533.0
3/23/20,3323.0,19856.0
3/24/20,2198.0,22054.0
3/25/20,2913.0,24967.0
3/26/20,3889.0,28856.0
3/27/20,3753.0,32609.0
3/28/20,4553.0,37162.0
3/29/20,2599.0,39761.0
3/30/20,4268.0,44029.0
3/31/20,7550.0,51579.0
4/1/20,4783.0,56362.0
4/2/20,2042.0,58404.0
4/3/20,5184.0,63588.0
4/4/20,-17105.0,46483.0
4/5/20,816.0,47299.0
4/6/20,2635.0,49934.0
4/7/20,-3534.0,46400.0
4/8/20,3842.0,50242.0
4/9/20,3761.0,54003.0
4/10/20,1535.0,55538.0
4/11/20,1434.0,56972.0
4/12/20,50740.0,107712.0
