,Total_cases,New_cases,Lockdowns
2020-01-22,0,,False
2020-01-23,0,0.0,False
2020-01-24,2,2.0,False
2020-01-25,3,1.0,False
2020-01-26,3,0.0,False
2020-01-27,3,0.0,False
2020-01-28,4,1.0,False
2020-01-29,5,1.0,False
2020-01-30,5,0.0,False
2020-01-31,5,0.0,False
2020-02-01,6,1.0,False
2020-02-02,6,0.0,False
2020-02-03,6,0.0,False
2020-02-04,6,0.0,False
2020-02-05,6,0.0,False
2020-02-06,6,0.0,False
2020-02-07,6,0.0,False
2020-02-08,11,5.0,False
2020-02-09,11,0.0,False
2020-02-10,11,0.0,False
2020-02-11,11,0.0,False
2020-02-12,11,0.0,False
2020-02-13,11,0.0,False
2020-02-14,11,0.0,False
2020-02-15,12,1.0,False
2020-02-16,12,0.0,False
2020-02-17,12,0.0,False
2020-02-18,12,0.0,False
2020-02-19,12,0.0,False
2020-02-20,12,0.0,False
2020-02-21,12,0.0,False
2020-02-22,12,0.0,False
2020-02-23,12,0.0,False
2020-02-24,12,0.0,False
2020-02-25,14,2.0,False
2020-02-26,18,4.0,False
2020-02-27,38,20.0,False
2020-02-28,57,19.0,False
2020-02-29,100,43.0,False
2020-03-01,130,30.0,False
2020-03-02,191,61.0,False
2020-03-03,212,21.0,False
2020-03-04,288,76.0,False
2020-03-05,426,138.0,False
2020-03-06,616,190.0,False
2020-03-07,948,332.0,False
2020-03-08,1125,177.0,False
2020-03-09,1411,286.0,False
2020-03-10,1783,372.0,False
2020-03-11,2293,510.0,False
2020-03-12,2293,0.0,False
2020-03-13,3681,1388.0,False
2020-03-14,4496,815.0,False
2020-03-15,4532,36.0,False
2020-03-16,6683,2151.0,False
2020-03-17,7715,1032.0,True
2020-03-18,9124,1409.0,True
2020-03-19,10970,1846.0,True
2020-03-20,12758,1788.0,True
2020-03-21,14463,1705.0,True
2020-03-22,16758,2295.0,True
2020-03-23,20123,3365.0,True
2020-03-24,22372,2249.0,True
2020-03-25,25334,2962.0,True
2020-03-26,29252,3918.0,True
2020-03-27,33047,3795.0,True
2020-03-28,37692,4645.0,True
2020-03-29,40295,2603.0,True
2020-03-30,44649,4354.0,True
2020-03-31,52278,7629.0,True
2020-04-01,57122,4844.0,True
2020-04-02,59228,2106.0,True
2020-04-03,64452,5224.0,True
2020-04-04,47378,-17074.0,True
2020-04-05,48233,855.0,True
2020-04-06,50887,2654.0,True
2020-04-07,47396,-3491.0,True
2020-04-08,51251,3855.0,True
2020-04-09,55035,3784.0,True
2020-04-10,56600,1565.0,True
2020-04-11,58045,1445.0,True
2020-04-12,108791,50746.0,True
2020-04-13,111932,3141.0,True
2020-04-14,129380,17448.0,True
2020-04-15,132588,3208.0,True
2020-04-16,145166,12578.0,True
2020-04-17,147057,1891.0,True
2020-04-18,150863,3806.0,True
2020-04-19,151955,1092.0,True
2020-04-20,154402,2447.0,True
2020-04-21,157068,2666.0,True
2020-04-22,158868,1800.0,True
2020-04-23,157158,-1710.0,True
2020-04-24,159969,2811.0,True
2020-04-25,161647,1678.0,True
2020-04-26,162280,633.0,True
2020-04-27,165966,3686.0,True
2020-04-28,169098,3132.0,True
2020-04-29,167643,-1455.0,True
2020-04-30,168861,1218.0,True
2020-05-01,169387,526.0,True
2020-05-02,170179,792.0,True
2020-05-03,170540,361.0,True
2020-05-04,171102,562.0,True
2020-05-05,172219,1117.0,True
2020-05-06,176355,4136.0,True
2020-05-07,177096,741.0,True
2020-05-08,177627,531.0,True
2020-05-09,178156,529.0,True
2020-05-10,178405,249.0,True
2020-05-11,178719,314.0,False
2020-05-12,179472,753.0,False
2020-05-13,179993,521.0,False
2020-05-14,180635,642.0,False
2020-05-15,181148,513.0,False
2020-05-16,181563,415.0,False
2020-05-17,181703,140.0,False
2020-05-18,182147,444.0,False
2020-05-19,182648,501.0,False
2020-05-20,183130,482.0,False
2020-05-21,183397,267.0,False
2020-05-22,184153,756.0,False
2020-05-23,184699,546.0,False
2020-05-24,184260,-439.0,False
2020-05-25,184585,325.0,False
2020-05-26,184840,255.0,False
2020-05-27,185012,172.0,False
2020-05-28,188355,3343.0,False
2020-05-29,188949,594.0,False
2020-05-30,190744,1795.0,False
2020-05-31,190975,231.0,False
2020-06-01,191382,407.0,False
2020-06-02,190735,-647.0,False
2020-06-03,187509,-3226.0,False
2020-06-04,191869,4360.0,False
2020-06-05,192450,581.0,False
