hashtags,count
"Covid, Covid19, Covid_19 ...",107428
"coronavirus, corona ...",16420
pandemic,1625
india,1193
trump,1101
lockdown,963
wearamask,800
odisha,707
vaccine,703
china,544
staysafe,496
usa,483
breaking,480
socialdistancing,459
masks,457
health,441
mask,420
russia,413
us,401
uk,382
blood,351
hydroxychloroquine,337
trumpvirus,325
healthcare,318
florida,317
quarantine,316
auspol,304
stayhome,302
sarscov2,302
news,296
education,286
maskup,279
cdc,276
mentalhealth,263
facemask,260
newzealand,260
who,256
canada,256
australia,247
facemasks,244
economy,230
business,228
texas,222
travel,222
ai,217
pakistan,216
uae,215
rajasthan,211
blacklivesmatter,209
earlyvoting,208
maga,199
thailand,195
hongkong,193
telangana,191
karnataka,189
bbnaija,189
gop,183
maharashtra,182
virus,181
kids,181
nhs,179
plandemic,179
art,178
biden,174
blm,172
delhi,172
africa,169
vaccines,168
photography,167
tamilnadu,166
wearadamnmask,165
brazil,165
fauci,162
southafrica,161
publichealth,159
america,157
climatechange,154
schools,154
2019ncov,153
brexit,151
california,148
ppe,145
mlb,142
hyderabad,138
schoolsreopening,136
andhrapradesh,136
amitshah,135
backtoschool,135
arizona,135
technology,133
stayathome,132
nyc,131
putin,128
donaldtrump,125
webinar,125
cybersecurity,124
breakingnews,124
newnormal,123
scams,123
spain,122
vietnam,122
tech,121
georgia,121
democrats,119
americans,119
ireland,118
bsnl,118
icymi,118
school,118
nigeria,117
unemployment,116
iran,114
children,114
assam,113
bbnaijalockdown2020,113
cdnpoli,112
mumbai,112
france,111
bsnl_pride_of_india,111
artists,111
even,111
germany,109
saturdaymorning,109
wuhan,108
science,108
recession,107
childern,107
bignews,107
trump2020,107
election2020,106
ccp,105
kerala,105
japan,105
borisjohnson,105
secondwave,104
bbnaijia,102
lebanon,102
unitedstates,101
moneyforthepeople,101
digitaltransformation,100
uganda,100
agedcare,99
europe,99
israel,99
love,99
update,98
russianvaccine,98
telehealth,96
bangladesh,96
data,96
अनंत_हेगड़े_माफ़ी_मांगो,96
southkorea,94
government,94
italy,93
leadership,93
fakenews,92
victoria,91
madhyapradesh,90
podcast,90
bbnajia,90
testing,90
bbnaijialockdown,89
bitcoin,88
tourism,88
chinavirus,87
hr,87
obesity,87
sweden,87
kashmir,87
workfromhome,87
fitness,85
world,85
youthday,85
digital,85
marketing,84
shivrajsinghchouhan,84
drfauci,84
london,84
qatar,83
toronto,83
music,83
politics,83
chinesevirus,83
newyork,83
singapore,83
sundayvibes,82
eu,81
besafe,80
mondaymotivation,79
ghana,79
tiktok,79
influencerchallange,78
wfh,78
life,78
chennai,78
alreadyvideo,78
mexico,78
photographer,78
ontario,77
stopthespread,77
quarantinelife,77
protests,77
nwo,76
flu,76
tuesdayvibes,76
twitter,76
scamdemic,75
chimpreportsnews,75
5g,75
billgates,75
kiddrica,75
hcq,75
srilanka,74
washyourhands,74
vijayawada,74
melbourne,74
philippines,74
bbnaijalockdown,74
food,73
level2,73
innovation,73
bot,72
youtube,72
research,72
cancer,71
flattenthecurve,71
nepal,71
racism,71
insurance,71
congress,71
