Date,Africa,Americas,Asia,Europe,Oceania
2020-01-22,0.0,1.0,556.0,0.0,0.0
2020-01-23,0.0,3.0,654.0,0.0,0.0
2020-01-24,0.0,5.0,937.0,2.0,0.0
2020-01-25,0.0,5.0,1429.0,3.0,0.0
2020-01-26,0.0,8.0,2105.0,3.0,4.0
2020-01-27,0.0,8.0,2912.0,4.0,5.0
2020-01-28,0.0,9.0,5558.0,8.0,5.0
2020-01-29,0.0,10.0,6143.0,10.0,6.0
2020-01-30,0.0,10.0,8208.0,10.0,9.0
2020-01-31,0.0,12.0,9889.0,17.0,9.0
2020-02-01,0.0,12.0,11991.0,23.0,12.0
2020-02-02,0.0,12.0,16738.0,25.0,12.0
2020-02-03,0.0,15.0,19827.0,33.0,12.0
2020-02-04,0.0,16.0,23836.0,34.0,13.0
2020-02-05,0.0,17.0,27579.0,35.0,13.0
2020-02-06,0.0,18.0,30739.0,35.0,14.0
2020-02-07,0.0,20.0,34267.0,37.0,15.0
2020-02-08,0.0,20.0,36989.0,46.0,15.0
2020-02-09,0.0,20.0,40014.0,49.0,15.0
2020-02-10,0.0,21.0,42551.0,49.0,15.0
2020-02-11,0.0,22.0,44589.0,53.0,15.0
2020-02-12,0.0,22.0,44966.0,54.0,15.0
2020-02-13,0.0,23.0,60116.0,55.0,15.0
2020-02-14,1.0,23.0,66599.0,56.0,15.0
2020-02-15,1.0,23.0,68674.0,57.0,15.0
2020-02-16,1.0,23.0,70787.0,57.0,15.0
2020-02-17,1.0,24.0,72721.0,58.0,15.0
2020-02-18,1.0,24.0,74515.0,58.0,15.0
2020-02-19,1.0,24.0,74935.0,59.0,15.0
2020-02-20,1.0,25.0,75480.0,61.0,15.0
2020-02-21,1.0,29.0,76088.0,79.0,15.0
2020-02-22,1.0,30.0,77807.0,121.0,15.0
2020-02-23,1.0,33.0,78030.0,220.0,15.0
2020-02-24,1.0,34.0,78521.0,296.0,15.0
2020-02-25,2.0,37.0,79264.0,403.0,15.0
2020-02-26,2.0,39.0,80063.0,560.0,15.0
2020-02-27,2.0,42.0,81155.0,809.0,15.0
2020-02-28,3.0,49.0,82236.0,1143.0,16.0
2020-02-29,3.0,66.0,83728.0,1495.0,26.0
2020-03-01,4.0,93.0,85321.0,2251.0,28.0
2020-03-02,8.0,123.0,86704.0,2811.0,31.0
2020-03-03,11.0,151.0,88571.0,3515.0,40.0
2020-03-04,21.0,200.0,89799.0,4557.0,55.0
2020-03-05,24.0,295.0,91090.0,5905.0,58.0
2020-03-06,43.0,382.0,93121.0,7746.0,64.0
2020-03-07,43.0,569.0,94880.0,9933.0,68.0
2020-03-08,83.0,740.0,96081.0,12306.0,81.0
2020-03-09,91.0,850.0,96987.0,15562.0,96.0
2020-03-10,104.0,1086.0,98177.0,18866.0,112.0
2020-03-11,119.0,1559.0,99898.0,24112.0,133.0
2020-03-12,135.0,2099.0,101271.0,28939.0,133.0
2020-03-13,181.0,3024.0,103080.0,39276.0,208.0
2020-03-14,258.0,3973.0,104997.0,47170.0,259.0
