,Africa,Americas,Asia,Boat,Europe,Oceania
2020-01-22,10,2,544,0,1,0
2020-01-23,29,5,622,0,1,0
2020-01-24,47,11,884,0,2,0
2020-01-25,67,17,1346,0,3,4
2020-01-26,109,23,1974,0,6,8
2020-01-27,135,34,2744,0,7,9
2020-01-28,181,56,5324,0,10,9
2020-01-29,305,67,5768,0,16,13
2020-01-30,437,84,7683,0,16,17
2020-01-31,549,98,9244,0,19,17
2020-02-01,615,109,11272,0,22,20
2020-02-02,677,122,15943,0,25,20
2020-02-03,748,134,18955,0,30,20
2020-02-04,853,142,22851,0,30,23
2020-02-05,920,149,26520,0,30,25
2020-02-06,981,159,29607,0,31,28
2020-02-07,1033,228,33077,0,32,30
2020-02-08,1087,229,35750,0,34,31
2020-02-09,1115,236,38744,0,35,32
2020-02-10,1133,316,41253,0,36,33
2020-02-11,1160,320,43261,0,40,33
2020-02-12,1175,361,43623,0,40,33
2020-02-13,1191,363,58756,0,41,33
2020-02-14,1203,412,65222,0,41,34
2020-02-15,1211,485,67281,0,41,37
2020-02-16,1216,560,69383,0,42,37
2020-02-17,1221,662,71311,0,42,37
2020-02-18,1222,751,73103,0,42,37
2020-02-19,1225,831,73518,0,44,37
2020-02-20,1228,848,74056,0,47,37
2020-02-21,1257,853,74636,0,63,37
2020-02-22,1259,854,76381,0,77,37
2020-02-23,1264,914,76682,0,93,37
2020-02-24,1266,917,77225,0,113,37
2020-02-25,1274,921,78031,0,149,37
2020-02-26,1283,941,78921,0,202,37
2020-02-27,1319,947,80109,0,315,38
2020-02-28,1352,968,81292,0,500,40
2020-02-29,1413,981,82833,0,744,52
2020-03-01,1490,1001,84649,0,1207,55
2020-03-02,1611,1025,85886,0,1799,61
2020-03-03,1715,1055,87414,0,2733,77
2020-03-04,1894,1109,88733,0,3495,107
2020-03-05,2118,1211,90255,0,4373,121
2020-03-06,2534,1395,91981,0,5993,159
2020-03-07,2980,1514,94025,0,7501,179
2020-03-08,3372,1678,96164,0,8569,214
2020-03-09,3915,1864,98684,0,9579,250
2020-03-10,4879,2103,100730,0,11047,292
2020-03-11,6211,2447,104359,0,13161,349
2020-03-12,6906,2738,107443,0,15811,385
2020-03-13,9645,3470,113851,0,18919,592
2020-03-14,11294,3957,119144,0,22205,765
2020-03-15,12846,4572,124793,0,25301,1086
2020-03-16,15875,5231,130962,1,29689,1407
2020-03-17,18541,6009,137313,1,34679,1796
2020-03-18,21697,6905,144713,1,40552,2032
2020-03-19,26030,8002,155830,2,50412,2711
2020-03-20,30798,9691,166112,2,62647,3267
2020-03-21,35485,11675,179795,2,73981,4006
2020-03-22,40785,13805,191564,4,87940,5058
2020-03-23,48414,15790,205034,4,106531,5938
2020-03-24,55042,17946,217817,6,125887,6896
2020-03-25,62563,21302,235774,7,147248,8181
2020-03-26,71456,25116,253642,7,176160,9508
2020-03-27,80706,28540,271414,11,208315,10834
2020-03-28,90486,33026,289051,13,244291,12535
2020-03-29,98128,37932,304625,18,271302,13913
2020-03-30,108921,41830,319705,18,305382,15073
2020-03-31,123201,46585,337936,20,345025,16604
2020-04-01,135670,51795,356021,20,394142,18080
2020-04-02,145394,57676,374182,21,441294,19609
2020-04-03,158525,63736,390536,21,488425,21143
2020-04-04,148192,68471,407767,29,535726,22322
2020-04-05,155051,73627,422282,29,579543,23690
2020-04-06,165346,78492,436701,30,623708,24671
2020-04-07,169913,83777,451331,31,666939,25895
2020-04-08,182042,90260,468583,32,712067,27078
2020-04-09,193429,96822,485249,35,763154,28554
2020-04-10,201777,104253,502028,35,814876,30696
2020-04-11,209541,109910,518608,35,859140,31946
2020-04-12,265837,115839,534387,36,898430,33232
2020-04-13,275270,122899,548803,37,938337,34247
2020-04-14,299395,127760,562893,46,978642,35490
2020-04-15,310230,135545,581390,59,1018463,36795
2020-04-16,330842,142319,603051,60,1062431,38247
2020-04-17,340397,149377,624868,60,1110731,39397
2020-04-18,351456,155696,642963,60,1151553,41354
2020-04-19,358883,162693,666333,62,1188292,43141
