,Africa,Americas,Asia,Boat,Europe,Oceania
2020-01-22,0,1,556,0,0,0
2020-01-23,0,1,654,0,0,0
2020-01-24,0,2,937,0,2,0
2020-01-25,0,2,1428,0,3,0
2020-01-26,0,6,2105,0,3,4
2020-01-27,0,6,2912,0,4,5
2020-01-28,0,7,5558,0,8,5
2020-01-29,0,8,6143,0,10,6
2020-01-30,0,8,8208,0,10,9
2020-01-31,0,12,9889,0,17,9
2020-02-01,0,12,11991,0,23,12
2020-02-02,0,12,16738,0,25,12
2020-02-03,0,15,19827,0,33,12
2020-02-04,0,15,23836,0,34,13
2020-02-05,0,16,27579,0,35,13
2020-02-06,0,17,30737,0,35,14
2020-02-07,0,19,34264,61,37,15
2020-02-08,0,19,36989,61,46,15
2020-02-09,0,19,40013,64,49,15
2020-02-10,0,19,42551,135,49,15
2020-02-11,0,20,44589,135,52,15
2020-02-12,0,20,44966,175,53,15
2020-02-13,0,21,60117,175,54,15
2020-02-14,1,21,66599,218,55,15
2020-02-15,1,21,68674,285,56,15
2020-02-16,1,21,70787,355,56,15
2020-02-17,1,22,72721,454,57,15
2020-02-18,1,22,74515,542,57,15
2020-02-19,1,22,74935,621,58,15
2020-02-20,1,22,75480,634,60,15
2020-02-21,1,25,76088,634,78,15
2020-02-22,1,25,77807,634,120,15
2020-02-23,1,27,78030,691,218,15
2020-02-24,1,28,78517,691,294,15
2020-02-25,2,29,79260,691,402,15
2020-02-26,2,30,80059,705,565,15
2020-02-27,2,33,81151,705,830,15
2020-02-28,3,35,82230,705,1133,16
2020-02-29,3,53,83720,705,1506,26
2020-03-01,4,79,85317,705,2261,28
2020-03-02,8,105,86700,705,2828,31
2020-03-03,11,130,88568,706,3516,40
2020-03-04,21,171,89798,706,4528,55
2020-03-05,28,258,91080,706,5960,58
2020-03-06,50,338,93113,706,7732,64
2020-03-07,59,515,94860,706,9890,68
2020-03-08,99,674,96062,706,12425,81
2020-03-09,110,773,96969,706,15565,96
2020-03-10,130,986,98152,706,18955,112
2020-03-11,148,1428,99872,706,24415,133
2020-03-12,164,1915,101231,706,28343,133
2020-03-13,207,2817,103059,706,39882,205
2020-03-14,289,3697,104975,706,48027,256
2020-03-15,351,4074,106915,706,56868,305
2020-03-16,438,5996,108645,706,67857,385
2020-03-17,523,8235,110651,706,79391,464
2020-03-18,641,11370,112789,712,93435,588
2020-03-19,824,16600,114944,712,112794,710
2020-03-20,1015,23899,117644,712,133257,832
2020-03-21,1220,31174,120217,712,154902,1125
2020-03-22,1489,41692,123458,712,175200,1654
2020-03-23,1877,54530,126547,712,201586,1788
2020-03-24,2309,66837,130174,712,225983,2204
2020-03-25,2832,80513,135594,712,256994,2575
2020-03-26,3410,100679,141305,712,292892,3099
2020-03-27,3976,121605,148425,712,328903,3517
2020-03-28,4323,143968,155635,714,365681,4097
2020-03-29,4894,165081,162899,714,395563,4504
2020-03-30,5312,189601,170164,714,428202,4956
2020-03-31,5900,219813,179176,714,464979,5212
2020-04-01,6514,255908,187805,721,502062,5576
2020-04-02,7192,292665,196954,721,538196,5921
2020-04-03,8107,328656,205701,721,575809,6206
2020-04-04,8809,364555,214691,721,588300,6513
2020-04-05,9535,399834,224608,721,614744,6739
2020-04-06,10253,434699,234605,721,642127,6919
2020-04-07,10893,470335,244194,721,665938,7072
2020-04-08,11699,508693,254129,721,700029,7237
2020-04-09,12511,551188,264388,721,733355,7364
2020-04-10,13178,593441,275542,721,764664,7516
2020-04-11,13895,627750,287563,721,791811,7633
2020-04-12,14762,659878,299207,721,866836,7663
2020-04-13,15538,693085,310783,721,891954,7718
2020-04-14,16519,726949,322276,721,929502,7799
2020-04-15,17483,759781,333670,721,961415,7844
2020-04-16,18654,797652,346059,721,1005492,7887
2020-04-17,20073,839309,358831,721,1037573,7955
2020-04-18,21385,875669,370957,721,1064956,8014
2020-04-19,22600,908661,383227,721,1095033,8065
2020-04-20,23768,945872,397215,721,1118661,8088
2020-04-21,24838,979405,410905,721,1146090,8115
2020-04-22,26246,1017477,423101,721,1175647,8129
2020-04-23,27685,1061951,435886,721,1201183,8144
2020-04-24,29408,1115139,448908,721,1217326,8164
2020-04-25,30641,1159372,460917,721,1242084,8190
2020-04-26,32175,1195834,472431,721,1264143,8209
2020-04-27,33509,1229442,483521,721,1288293,8219
2020-04-28,35137,1267402,495444,721,1312297,8244
2020-04-29,37151,1307978,508385,721,1333866,8254
2020-04-30,39097,1353341,521470,721,1356950,8271
2020-05-01,40832,1403956,534625,721,1379803,8289
2020-05-02,43060,1446638,546709,721,1401986,8312
2020-05-03,44654,1487505,559393,721,1423191,8335
2020-05-04,47321,1527193,573643,721,1444251,8359
2020-05-05,49368,1567825,588841,721,1466846,8389
2020-05-06,51917,1612788,604265,721,1493918,8409
2020-05-07,54408,1658185,619936,721,1519045,8429
2020-05-08,58032,1704609,636747,721,1542458,8436
2020-05-09,60882,1750829,652161,721,1563174,8459
2020-05-10,63461,1785508,670122,721,1582919,8471
2020-05-11,66527,1818660,686695,721,1606737,8493
2020-05-12,69687,1860881,703719,721,1628813,8503
2020-05-13,72602,1905231,720953,721,1649285,8512
2020-05-14,75721,1957541,741570,721,1669439,8543
2020-05-15,78649,2012538,759037,721,1689763,8559
2020-05-16,81653,2066377,778974,721,1707412,8569
2020-05-17,84971,2103797,799790,721,1723870,8579
2020-05-18,88646,2151562,820605,721,1740768,8593
2020-05-19,91661,2204443,842555,721,1759689,8601
2020-05-20,95460,2261878,865135,721,1777744,8610
2020-05-21,100177,2322073,889326,721,1795270,8625
2020-05-22,104052,2381569,913524,721,1814119,8629
2020-05-23,107914,2441476,937915,721,1830748,8644
2020-05-24,112040,2493461,961826,721,1844937,8644
2020-05-25,116156,2539924,983648,721,1859241,8656
2020-05-26,119874,2593730,1003833,721,1875486,8669
2020-05-27,124958,2652350,1027736,721,1890630,8680
2020-05-28,129889,2720406,1053574,721,1911073,8695
2020-05-29,135637,2790122,1082393,721,1927674,8714
2020-05-30,141758,2876239,1110043,721,1944293,8722
2020-05-31,147007,2933582,1139274,721,1958868,8732
2020-06-01,152793,2981120,1167242,721,1973552,8751
2020-06-02,157680,3053557,1197816,721,1987610,8759
2020-06-03,162773,3117571,1231202,721,1999355,8770
2020-06-04,169886,3189323,1263506,721,2019123,8777
2020-06-05,177082,3263950,1296447,721,2035577,8782
2020-06-06,183677,3340725,1330879,721,2051505,8789
2020-06-07,190022,3397392,1365461,721,2066268,8795
2020-06-08,196671,3446941,1396615,721,2081411,8797
2020-06-09,203151,3516234,1430552,721,2096754,8804
2020-06-10,209701,3592734,1467070,721,2112280,8815
2020-06-11,217105,3669328,1504911,721,2128457,8819
2020-06-12,225184,3740249,1537602,721,2145526,8824
2020-06-13,233285,3812764,1576518,721,2161257,8850
2020-06-14,242055,3876551,1621468,721,2176019,8865
2020-06-15,251689,3935270,1658717,721,2190061,8879
2020-06-16,259311,4015298,1697244,721,2205945,8902
2020-06-17,268084,4093245,1738226,721,2221967,8924
2020-06-18,276383,4167923,1779289,721,2238972,8942
2020-06-19,286284,4279332,1822074,721,2254788,8946
2020-06-20,297723,4368872,1863875,721,2269404,8998
2020-06-21,307214,4434071,1903578,721,2282698,9013
2020-06-22,316371,4510325,1943960,721,2296245,9034
2020-06-23,325590,4610604,1986169,721,2311317,9064
2020-06-24,337107,4712776,2029902,721,2326448,9105
2020-06-25,349111,4820125,2074115,721,2341225,9143
2020-06-26,360863,4938153,2120298,721,2356850,9152
2020-06-27,373405,5043751,2166302,721,2370749,9241
2020-06-28,384227,5138183,2213097,721,2382491,9321
2020-06-29,395470,5225004,2257362,721,2395439,9391
2020-06-30,407329,5328389,2303774,721,2408239,9477
2020-07-01,420886,5452713,2370228,721,2421428,9560
2020-07-02,435401,5584289,2420484,721,2434961,9625
2020-07-03,450814,5705693,2470908,721,2448911,9819
2020-07-04,466822,5817214,2524184,721,2461729,10005
2020-07-05,480904,5919510,2579875,721,2473521,10147
2020-07-06,494685,6005797,2629994,721,2487133,10323
2020-07-07,512465,6137467,2679796,721,2499111,10455
2020-07-08,527573,6268705,2733295,721,2513252,10628
2020-07-09,546976,6404495,2790984,721,2526872,10953
2020-07-10,564987,6548593,2846806,721,2541435,11133
2020-07-11,584182,6676869,2901832,721,2555175,11378
2020-07-12,601175,6785664,2956372,721,2566938,11561
2020-07-13,617582,6889693,3012578,721,2581468,11833
2020-07-14,632215,7029511,3067265,721,2594280,12071
2020-07-15,650566,7167357,3127781,721,2608711,12395
2020-07-16,671355,7321954,3188000,721,2623994,12819
2020-07-17,691247,7464654,3251737,721,2640194,13032
2020-07-18,710702,7593804,3325585,721,2653554,13397
2020-07-19,729601,7708205,3393695,721,2665309,13666
2020-07-20,745493,7820080,3454679,721,2683311,14029
2020-07-21,759669,7959471,3519944,721,2697686,14503
2020-07-22,779453,8131744,3591389,721,2713641,14914
2020-07-23,798266,8298444,3670887,721,2731189,15209
2020-07-24,820726,8464409,3745571,721,2748798,15565
2020-07-25,839090,8611805,3819705,721,2762498,16025
2020-07-26,857568,8720144,3892415,721,2775542,16580
2020-07-27,871148,8841931,3961503,721,2797158,16949
2020-07-28,884964,8987659,4039160,721,2812460,17231
