ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2020-01-22,-8522.43039648,-65082.03206715344,57013.350917467484,-8522.43039648,-8522.43039648,722.6113223041185,722.6113223041185,722.6113223041185,722.6113223041185,722.6113223041185,722.6113223041185,0.0,0.0,0.0,-7799.819074175882,0.0
2020-01-23,-8260.670027553448,-58555.527357070176,68476.8820298551,-8260.670027553448,-8260.670027553448,16363.434287195616,16363.434287195616,16363.434287195616,16363.434287195616,16363.434287195616,16363.434287195616,0.0,0.0,0.0,8102.764259642168,98.0
2020-01-24,-7998.909658626893,-73573.70062213426,37362.844848259374,-7998.909658626893,-7998.909658626893,-19.2611264195516,-19.2611264195516,-19.2611264195516,-19.2611264195516,-19.2611264195516,-19.2611264195516,0.0,0.0,0.0,-8018.1707850464445,283.0
2020-01-25,-7737.14928970034,-48807.76128365739,47854.64283981817,-7737.14928970034,-7737.14928970034,-1649.422958657237,-1649.422958657237,-1649.422958657237,-1649.422958657237,-1649.422958657237,-1649.422958657237,0.0,0.0,0.0,-9386.572248357577,492.0
2020-01-26,-7475.388920773786,-67203.36672207879,54653.082770967616,-7475.388920773786,-7475.388920773786,-4246.297728821599,-4246.297728821599,-4246.297728821599,-4246.297728821599,-4246.297728821599,-4246.297728821599,0.0,0.0,0.0,-11721.686649595384,676.0
2020-01-27,-7213.628551847233,-64918.00634830119,34998.770792401665,-7213.628551847233,-7213.628551847233,-8004.503712563389,-8004.503712563389,-8004.503712563389,-8004.503712563389,-8004.503712563389,-8004.503712563389,0.0,0.0,0.0,-15218.132264410622,807.0
2020-01-28,-6951.868182920678,-70275.66445706107,38276.072016700804,-6951.868182920678,-6951.868182920678,-3166.5600830413805,-3166.5600830413805,-3166.5600830413805,-3166.5600830413805,-3166.5600830413805,-3166.5600830413805,0.0,0.0,0.0,-10118.428265962059,2646.0
2020-01-29,-6690.107813994125,-55444.481178746326,43957.8250936216,-6690.107813994125,-6690.107813994125,722.6113223016406,722.6113223016406,722.6113223016406,722.6113223016406,722.6113223016406,722.6113223016406,0.0,0.0,0.0,-5967.496491692484,585.0
2020-01-30,-6428.347445067571,-44756.03761828735,71468.00327485251,-6428.347445067571,-6428.347445067571,16363.434287197928,16363.434287197928,16363.434287197928,16363.434287197928,16363.434287197928,16363.434287197928,0.0,0.0,0.0,9935.086842130357,2065.0
2020-01-31,-6166.587076141018,-55604.0346862601,43518.24175391227,-6166.587076141018,-6166.587076141018,-19.261126377795918,-19.261126377795918,-19.261126377795918,-19.261126377795918,-19.261126377795918,-19.261126377795918,0.0,0.0,0.0,-6185.848202518814,1681.0
2020-02-01,-5904.826707214464,-55085.70212719949,44643.5999532218,-5904.826707214464,-5904.826707214464,-1649.4229586375232,-1649.4229586375232,-1649.4229586375232,-1649.4229586375232,-1649.4229586375232,-1649.4229586375232,0.0,0.0,0.0,-7554.249665851987,2102.0
2020-02-02,-5643.06633828791,-59623.55470697548,35105.30464313906,-5643.06633828791,-5643.06633828791,-4246.2977288465645,-4246.2977288465645,-4246.2977288465645,-4246.2977288465645,-4246.2977288465645,-4246.2977288465645,0.0,0.0,0.0,-9889.364067134475,4747.0
2020-02-03,-5381.305863871029,-64503.90041804658,26557.12057793248,-5381.305863871029,-5381.305863871029,-8004.503712557273,-8004.503712557273,-8004.503712557273,-8004.503712557273,-8004.503712557273,-8004.503712557273,0.0,0.0,0.0,-13385.809576428303,3089.0
2020-02-04,-5119.545389454148,-57778.43804750325,47487.14196797519,-5119.545389454148,-5119.545389454148,-3166.560083054051,-3166.560083054051,-3166.560083054051,-3166.560083054051,-3166.560083054051,-3166.560083054051,0.0,0.0,0.0,-8286.1054725082,4009.0
2020-02-05,-4857.784915037267,-60804.947235844935,51748.13087788715,-4857.784915037267,-4857.784915037267,722.6113223189635,722.6113223189635,722.6113223189635,722.6113223189635,722.6113223189635,722.6113223189635,0.0,0.0,0.0,-4135.173592718304,3743.0
2020-02-06,-4596.0244406203865,-39745.38679668786,55745.73505925068,-4596.0244406203865,-4596.0244406203865,16363.434287202102,16363.434287202102,16363.434287202102,16363.434287202102,16363.434287202102,16363.434287202102,0.0,0.0,0.0,11767.409846581715,3160.0
2020-02-07,-4334.263966203505,-48381.98114927157,41017.49383003888,-4334.263966203505,-4334.263966203505,-19.261126400035756,-19.261126400035756,-19.261126400035756,-19.261126400035756,-19.261126400035756,-19.261126400035756,0.0,0.0,0.0,-4353.525092603541,3528.0
2020-02-08,-4072.5034917866237,-50934.8929762968,71346.6219121027,-4072.5034917866237,-4072.5034917866237,-1649.4229586736299,-1649.4229586736299,-1649.4229586736299,-1649.4229586736299,-1649.4229586736299,-1649.4229586736299,0.0,0.0,0.0,-5721.926450460253,2722.0
2020-02-09,-3810.743017369743,-74770.40814093669,45350.40616295928,-3810.743017369743,-3810.743017369743,-4246.297728806897,-4246.297728806897,-4246.297728806897,-4246.297728806897,-4246.297728806897,-4246.297728806897,0.0,0.0,0.0,-8057.04074617664,3025.0
2020-02-10,-3548.9825429528623,-62969.73581128879,55191.50593838069,-3548.9825429528623,-3548.9825429528623,-8004.503712567062,-8004.503712567062,-8004.503712567062,-8004.503712567062,-8004.503712567062,-8004.503712567062,0.0,0.0,0.0,-11553.486255519925,2537.0
2020-02-11,-3287.2220685359816,-60521.2200441237,54560.81842711167,-3287.2220685359816,-3287.2220685359816,-3166.560083069563,-3166.560083069563,-3166.560083069563,-3166.560083069563,-3166.560083069563,-3166.560083069563,0.0,0.0,0.0,-6453.782151605545,2038.0
2020-02-12,-3025.4615941191,-47796.891857093615,64147.53782071106,-3025.4615941191,-3025.4615941191,722.6113223362871,722.6113223362871,722.6113223362871,722.6113223362871,722.6113223362871,722.6113223362871,0.0,0.0,0.0,-2302.850271782813,377.0
2020-02-13,-2763.7011197022193,-51243.59920360848,63947.40248374279,-2763.7011197022193,-2763.7011197022193,16363.43428720441,16363.43428720441,16363.43428720441,16363.43428720441,16363.43428720441,16363.43428720441,0.0,0.0,0.0,13599.733167502192,15150.0
2020-02-14,-2501.940645285338,-63207.82933467536,53518.06474731182,-2501.940645285338,-2501.940645285338,-19.261126404300125,-19.261126404300125,-19.261126404300125,-19.261126404300125,-19.261126404300125,-19.261126404300125,0.0,0.0,0.0,-2521.2017716896385,6483.0
2020-02-15,-2240.180173815167,-47673.95849502459,47562.96901589941,-2240.180173815167,-2240.180173815167,-1649.4229586539157,-1649.4229586539157,-1649.4229586539157,-1649.4229586539157,-1649.4229586539157,-1649.4229586539157,0.0,0.0,0.0,-3889.603132469083,2075.0
2020-02-16,-1978.4197023449967,-69653.22840778182,38914.96526660908,-1978.4197023449967,-1978.4197023449967,-4246.297728831862,-4246.297728831862,-4246.297728831862,-4246.297728831862,-4246.297728831862,-4246.297728831862,0.0,0.0,0.0,-6224.717431176859,2113.0
2020-02-17,-1716.659230874826,-60075.69024979395,54755.53575309737,-1716.659230874826,-1716.659230874826,-8004.503712576854,-8004.503712576854,-8004.503712576854,-8004.503712576854,-8004.503712576854,-8004.503712576854,0.0,0.0,0.0,-9721.16294345168,1934.0
2020-02-18,-1454.8987594046553,-59656.415922515494,53868.93107548678,-1454.8987594046553,-1454.8987594046553,-3166.560083082234,-3166.560083082234,-3166.560083082234,-3166.560083082234,-3166.560083082234,-3166.560083082234,0.0,0.0,0.0,-4621.458842486889,1794.0
2020-02-19,-1193.1382879344847,-60990.00687593573,55148.86812337294,-1193.1382879344847,-1193.1382879344847,722.6113223338093,722.6113223338093,722.6113223338093,722.6113223338093,722.6113223338093,722.6113223338093,0.0,0.0,0.0,-470.52696560067534,420.0
2020-02-20,-931.3778164643164,-42364.86168515253,76269.1223215203,-931.3778164643164,-931.3778164643164,16363.434287193273,16363.434287193273,16363.434287193273,16363.434287193273,16363.434287193273,16363.434287193273,0.0,0.0,0.0,15432.056470728956,545.0
2020-02-21,-669.617344994145,-62634.34484735134,67826.14875478733,-669.617344994145,-669.617344994145,-19.261126408563403,-19.261126408563403,-19.261126408563403,-19.261126408563403,-19.261126408563403,-19.261126408563403,0.0,0.0,0.0,-688.8784714027084,608.0
2020-02-22,-407.85687352397514,-56600.0595612825,56346.758270284125,-407.85687352397514,-407.85687352397514,-1649.4229586519625,-1649.4229586519625,-1649.4229586519625,-1649.4229586519625,-1649.4229586519625,-1649.4229586519625,0.0,0.0,0.0,-2057.279832175938,1719.0
2020-02-23,-146.09640205380367,-58138.76642739268,36716.96802445044,-146.09640205380367,-146.09640205380367,-4246.297728856827,-4246.297728856827,-4246.297728856827,-4246.297728856827,-4246.297728856827,-4246.297728856827,0.0,0.0,0.0,-4392.394130910631,223.0
2020-02-24,115.66406941636619,-59934.769937185716,37755.456711709805,115.66406941636619,115.66406941636619,-8004.503712556322,-8004.503712556322,-8004.503712556322,-8004.503712556322,-8004.503712556322,-8004.503712556322,0.0,0.0,0.0,-7888.839643139956,491.0
2020-02-25,377.4245408865376,-42697.1774451725,66897.1304681894,377.4245408865376,377.4245408865376,-3166.560083072585,-3166.560083072585,-3166.560083072585,-3166.560083072585,-3166.560083072585,-3166.560083072585,0.0,0.0,0.0,-2789.135542186047,743.0
2020-02-26,639.1850208725081,-56811.41780478519,51511.430195779336,639.1850208725081,639.1850208725081,722.611322351133,722.611322351133,722.611322351133,722.611322351133,722.611322351133,722.611322351133,0.0,0.0,0.0,1361.796343223641,799.0
2020-02-27,900.9455008584802,-42107.02347460809,65276.24824110509,900.9455008584802,900.9455008584802,16363.434287201935,16363.434287201935,16363.434287201935,16363.434287201935,16363.434287201935,16363.434287201935,0.0,0.0,0.0,17264.379788060414,1092.0
2020-02-28,1162.7059808444492,-62188.034464086624,62715.12819130579,1162.7059808444492,1162.7059808444492,-19.26112641282619,-19.26112641282619,-19.26112641282619,-19.26112641282619,-19.26112641282619,-19.26112641282619,0.0,0.0,0.0,1143.444854431623,1081.0
2020-02-29,1424.4664608304195,-67548.97599862769,50499.516091556914,1424.4664608304195,1424.4664608304195,-1649.4229586322485,-1649.4229586322485,-1649.4229586322485,-1649.4229586322485,-1649.4229586322485,-1649.4229586322485,0.0,0.0,0.0,-224.95649780182907,1492.0
2020-03-01,1686.2269408163916,-57196.915394622054,56974.091266143274,1686.2269408163916,1686.2269408163916,-4246.297728817131,-4246.297728817131,-4246.297728817131,-4246.297728817131,-4246.297728817131,-4246.297728817131,0.0,0.0,0.0,-2560.07078800074,1593.0
2020-03-02,1947.987420802362,-61000.37958088848,52900.331990309445,1947.987420802362,1947.987420802362,-8004.503712596438,-8004.503712596438,-8004.503712596438,-8004.503712596438,-8004.503712596438,-8004.503712596438,0.0,0.0,0.0,-6056.516291794076,1383.0
2020-03-03,2209.7479007883326,-57634.8734086961,62441.807505675875,2209.7479007883326,2209.7479007883326,-3166.560083062935,-3166.560083062935,-3166.560083062935,-3166.560083062935,-3166.560083062935,-3166.560083062935,0.0,0.0,0.0,-956.8121822746025,1867.0
2020-03-04,2471.5083807743044,-49589.8915501498,61202.51486788622,2471.5083807743044,2471.5083807743044,722.6113223052629,722.6113223052629,722.6113223052629,722.6113223052629,722.6113223052629,722.6113223052629,0.0,0.0,0.0,3194.1197030795674,1228.0
