TweetAt,Sentiment
2020-03-02,Extremely Negative
2020-03-02,Positive
2020-03-02,Extremely Positive
2020-03-02,Negative
2020-03-03,Neutral
2020-03-03,Neutral
2020-03-03,Positive
2020-03-03,Neutral
2020-03-04,Extremely Negative
2020-03-04,Extremely Positive
2020-03-04,Positive
2020-03-04,Extremely Negative
2020-03-04,Extremely Negative
2020-03-04,Extremely Positive
2020-03-04,Positive
2020-03-04,Extremely Negative
2020-03-05,Extremely Positive
2020-03-05,Neutral
2020-03-05,Positive
2020-03-05,Extremely Positive
2020-03-05,Negative
2020-03-05,Extremely Positive
2020-03-06,Extremely Positive
2020-03-06,Extremely Positive
2020-03-07,Extremely Negative
2020-03-07,Positive
2020-03-07,Negative
2020-03-07,Negative
2020-03-07,Negative
2020-03-07,Positive
2020-03-07,Negative
2020-03-08,Extremely Positive
2020-03-08,Extremely Negative
2020-03-08,Extremely Negative
2020-03-08,Neutral
2020-03-08,Extremely Negative
2020-03-08,Negative
2020-03-08,Neutral
2020-03-08,Negative
2020-03-08,Extremely Positive
2020-03-09,Positive
2020-03-09,Negative
2020-03-09,Neutral
2020-03-09,Positive
2020-03-09,Positive
2020-03-09,Extremely Positive
2020-03-09,Extremely Positive
2020-03-09,Extremely Negative
2020-03-09,Extremely Negative
2020-03-09,Extremely Negative
2020-03-09,Extremely Negative
2020-03-09,Neutral
2020-03-09,Negative
2020-03-09,Extremely Positive
2020-03-09,Extremely Negative
2020-03-09,Negative
2020-03-10,Negative
2020-03-10,Positive
2020-03-10,Positive
2020-03-10,Neutral
2020-03-10,Extremely Negative
2020-03-10,Extremely Negative
2020-03-10,Extremely Positive
2020-03-10,Extremely Negative
2020-03-10,Positive
2020-03-10,Negative
2020-03-10,Positive
2020-03-10,Extremely Positive
2020-03-10,Positive
2020-03-10,Positive
2020-03-10,Negative
2020-03-10,Extremely Positive
2020-03-10,Positive
2020-03-10,Negative
2020-03-10,Neutral
2020-03-10,Extremely Negative
2020-03-10,Negative
2020-03-10,Positive
2020-03-10,Positive
2020-03-10,Positive
2020-03-10,Extremely Negative
2020-03-10,Negative
2020-03-10,Extremely Positive
2020-03-10,Negative
2020-03-10,Negative
2020-03-10,Negative
2020-03-10,Negative
2020-03-10,Neutral
2020-03-10,Negative
2020-03-10,Negative
2020-03-10,Negative
2020-03-10,Negative
2020-03-10,Positive
2020-03-10,Negative
2020-03-10,Negative
2020-03-10,Extremely Positive
2020-03-10,Neutral
2020-03-10,Extremely Positive
2020-03-10,Extremely Negative
2020-03-10,Neutral
2020-03-10,Positive
2020-03-10,Neutral
2020-03-10,Positive
2020-03-10,Positive
2020-03-10,Neutral
2020-03-10,Extremely Positive
2020-03-10,Positive
2020-03-10,Negative
2020-03-10,Negative
2020-03-10,Negative
2020-03-11,Negative
2020-03-11,Positive
2020-03-11,Extremely Positive
2020-03-11,Negative
2020-03-11,Positive
2020-03-11,Negative
2020-03-11,Negative
2020-03-11,Extremely Positive
2020-03-11,Negative
2020-03-11,Neutral
2020-03-11,Positive
2020-03-11,Extremely Positive
2020-03-11,Neutral
2020-03-11,Negative
2020-03-11,Extremely Negative
2020-03-11,Extremely Negative
2020-03-11,Positive
2020-03-11,Positive
2020-03-11,Negative
2020-03-11,Extremely Negative
2020-03-11,Negative
2020-03-11,Positive
2020-03-11,Extremely Negative
2020-03-11,Negative
2020-03-11,Extremely Negative
2020-03-11,Extremely Positive
2020-03-11,Extremely Positive
2020-03-11,Negative
2020-03-11,Extremely Positive
2020-03-11,Neutral
2020-03-11,Extremely Positive
2020-03-11,Extremely Positive
2020-03-11,Neutral
2020-03-11,Neutral
2020-03-11,Positive
2020-03-11,Positive
2020-03-11,Negative
2020-03-11,Negative
2020-03-11,Negative
2020-03-11,Positive
2020-03-11,Negative
2020-03-11,Extremely Positive
2020-03-11,Neutral
2020-03-11,Extremely Negative
2020-03-11,Neutral
2020-03-11,Negative
2020-03-11,Negative
2020-03-11,Negative
2020-03-11,Positive
2020-03-11,Extremely Negative
2020-03-11,Positive
2020-03-11,Positive
2020-03-11,Extremely Positive
2020-03-11,Neutral
2020-03-11,Neutral
2020-03-11,Positive
2020-03-11,Negative
2020-03-11,Neutral
2020-03-11,Positive
2020-03-11,Extremely Positive
2020-03-11,Negative
2020-03-11,Extremely Positive
2020-03-11,Neutral
2020-03-11,Positive
2020-03-11,Extremely Positive
2020-03-11,Neutral
2020-03-11,Neutral
2020-03-11,Positive
2020-03-11,Negative
2020-03-11,Neutral
2020-03-11,Neutral
2020-03-11,Extremely Positive
2020-03-11,Neutral
2020-03-11,Positive
2020-03-11,Extremely Negative
2020-03-11,Extremely Positive
2020-03-11,Neutral
2020-03-11,Positive
2020-03-11,Positive
2020-03-11,Negative
2020-03-11,Extremely Positive
2020-03-11,Extremely Positive
2020-03-11,Positive
2020-03-11,Extremely Positive
2020-03-11,Negative
2020-03-11,Positive
2020-03-11,Neutral
2020-03-11,Positive
2020-03-11,Extremely Positive
2020-03-11,Negative
2020-03-11,Negative
2020-03-11,Positive
2020-03-11,Positive
2020-03-11,Extremely Positive
2020-03-11,Positive
2020-03-11,Negative
2020-03-11,Negative
2020-03-11,Extremely Positive
2020-03-11,Neutral
2020-03-11,Positive
2020-03-11,Extremely Negative
2020-03-11,Negative
2020-03-11,Positive
2020-03-11,Positive
2020-03-11,Positive
2020-03-11,Negative
2020-03-11,Extremely Negative
2020-03-11,Neutral
2020-03-11,Neutral
2020-03-11,Negative
2020-03-11,Neutral
2020-03-11,Positive
2020-03-11,Negative
2020-03-11,Negative
2020-03-11,Positive
2020-03-11,Positive
2020-03-11,Neutral
2020-03-11,Positive
2020-03-11,Negative
2020-03-11,Extremely Negative
2020-03-11,Extremely Negative
2020-03-11,Positive
2020-03-11,Neutral
2020-03-11,Neutral
2020-03-11,Negative
2020-03-11,Positive
2020-03-11,Extremely Positive
2020-03-11,Neutral
2020-03-11,Neutral
2020-03-11,Positive
2020-03-11,Extremely Positive
2020-03-11,Positive
2020-03-11,Negative
2020-03-11,Positive
2020-03-11,Negative
2020-03-11,Extremely Negative
2020-03-11,Positive
2020-03-11,Negative
2020-03-11,Neutral
2020-03-11,Negative
2020-03-11,Neutral
2020-03-11,Neutral
2020-03-11,Positive
