Date,TargetGroup,Vaccine,Doses,Count
2021-10-11,Age70_79,UNK,FirstDose,96
2021-05-31,Age80+,UNK,FirstDose,2190
2021-05-31,Age80+,UNK,FirstDose,2004
2021-05-31,Age80+,UNK,FirstDose,4002
2021-05-31,Age80+,UNK,FirstDose,15
2021-05-31,Age70_79,UNK,FirstDose,6655
2023-06-05,Age70_79,UNK,FirstDose,0
2023-06-05,Age70_79,UNK,FirstDose,0
2023-06-05,Age70_79,UNK,FirstDose,0
2023-06-05,Age70_79,UNK,FirstDose,0
2022-12-12,ALL,UNK,FirstDose,34
2022-12-12,ALL,UNK,FirstDose,202
2022-12-12,ALL,UNK,FirstDose,325
2022-12-12,Age<18,UNK,FirstDose,8
2022-12-12,Age<18,UNK,FirstDose,2
2022-12-12,Age<18,UNK,FirstDose,36
2021-02-22,Age<18,UNK,FirstDose,34
2021-02-22,Age<18,UNK,FirstDose,0
2021-02-22,Age<18,UNK,FirstDose,11
2021-02-22,Age18_24,UNK,FirstDose,17
2021-02-22,Age18_24,UNK,FirstDose,42
2021-02-22,Age18_24,UNK,FirstDose,296
2021-02-22,Age18_24,UNK,FirstDose,706
2021-02-22,Age18_24,UNK,FirstDose,16
2021-02-22,Age25_49,UNK,FirstDose,70
2021-02-22,Age25_49,UNK,FirstDose,329
2021-05-24,Age<18,UNK,FirstDose,75
2021-05-24,Age<18,UNK,FirstDose,311
2021-05-24,Age25_49,UNK,FirstDose,56034
2021-02-22,Age50_59,UNK,FirstDose,367
2021-02-22,Age50_59,UNK,FirstDose,8806
2021-02-22,Age50_59,UNK,FirstDose,4958
2021-02-22,Age50_59,UNK,FirstDose,5477
2021-02-22,Age50_59,UNK,FirstDose,6189
2021-02-22,Age60_69,UNK,FirstDose,569
2021-02-22,Age60_69,UNK,FirstDose,2706
2021-02-22,Age60_69,UNK,FirstDose,9919
2021-02-22,Age60_69,UNK,FirstDose,5887
2021-02-22,Age60_69,UNK,FirstDose,8570
2021-02-22,Age70_79,UNK,FirstDose,33
2021-05-24,Age25_49,UNK,FirstDose,72225
2021-05-24,Age25_49,UNK,FirstDose,85621
2021-05-24,Age25_49,UNK,FirstDose,1887
2021-05-24,Age50_59,UNK,FirstDose,24336
2021-02-22,Age80+,UNK,FirstDose,3607
2021-02-22,Age80+,UNK,FirstDose,5363
2021-02-22,Age80+,UNK,FirstDose,9348
2021-02-22,Age80+,UNK,FirstDose,578
2021-03-01,ALL,COM,FirstDose,451289
2021-03-01,ALL,MODBA.4-5,FirstDose,0
2021-03-01,Age18_24,UNK,FirstDose,14050
2021-03-01,Age60_69,UNK,FirstDose,213683
2021-03-01,AgeUNK,UNK,FirstDose,0
2021-03-01,ALL,UNK,FirstDose,1254
2021-05-24,Age70_79,UNK,FirstDose,4099
2021-05-24,Age70_79,UNK,FirstDose,4766
2021-05-24,Age70_79,UNK,FirstDose,7699
2021-05-24,Age70_79,UNK,FirstDose,200
2021-03-01,Age<18,UNK,FirstDose,3
2021-05-31,Age70_79,UNK,FirstDose,4012
2021-07-05,Age60_69,UNK,FirstDose,87682
2021-07-05,AgeUNK,UNK,FirstDose,0
2021-07-05,ALL,UNK,FirstDose,49940
2021-07-05,ALL,UNK,FirstDose,90821
2021-07-05,ALL,UNK,FirstDose,107978
2021-07-05,ALL,UNK,FirstDose,77089
2021-07-05,Age<18,UNK,FirstDose,238
2021-07-05,Age<18,UNK,FirstDose,12883
2021-01-04,Age<18,UNK,FirstDose,2
2021-05-31,Age70_79,UNK,FirstDose,66
2021-02-08,Age50_59,UNK,FirstDose,1067
2021-02-08,Age50_59,UNK,FirstDose,213
2021-02-08,Age25_49,UNK,FirstDose,9474
2021-02-08,Age25_49,UNK,FirstDose,4085
2021-05-31,Age60_69,UNK,FirstDose,3230
2021-05-31,Age60_69,UNK,FirstDose,668
2021-05-31,Age50_59,UNK,FirstDose,25673
2021-05-31,Age50_59,UNK,FirstDose,22128
2021-05-31,Age50_59,UNK,FirstDose,59970
2021-05-31,Age50_59,UNK,FirstDose,416
2021-12-06,Age<18,UNK,FirstDose,1321
2021-12-06,Age<18,UNK,FirstDose,1883
2021-12-06,ALL,MOD,FirstDose,23375
2021-11-29,Age80+,UNK,FirstDose,153
2021-11-29,Age80+,UNK,FirstDose,556
2021-09-13,Age25_49,UNK,FirstDose,838
2021-09-13,Age25_49,UNK,FirstDose,12087
2021-09-13,Age25_49,UNK,FirstDose,4956
2021-09-13,Age25_49,UNK,FirstDose,3891
2021-09-13,Age25_49,UNK,FirstDose,1045
2021-09-13,Age18_24,UNK,FirstDose,4082
2021-09-13,Age18_24,UNK,FirstDose,3314
2021-09-13,Age18_24,UNK,FirstDose,8581
2021-09-13,Age18_24,UNK,FirstDose,353
2021-09-13,Age<18,UNK,FirstDose,4460
2021-11-29,Age60_69,UNK,FirstDose,850
2021-11-29,Age60_69,UNK,FirstDose,55
2021-11-29,Age50_59,UNK,FirstDose,1539
2021-11-29,Age50_59,UNK,FirstDose,1586
2021-09-13,ALL,UNK,FirstDose,1948
2021-09-13,ALL,UNK,FirstDose,31550
2021-09-13,ALL,UNK,FirstDose,18140
2021-09-13,ALL,UNK,FirstDose,16710
2021-09-13,ALL,UNK,FirstDose,3030
2021-09-13,Age70_79,UNK,FirstDose,11713
2023-06-19,Age60_69,UNK,FirstDose,3
2023-06-19,Age60_69,UNK,FirstDose,1
2023-06-19,Age60_69,UNK,FirstDose,2
2023-06-19,Age60_69,UNK,FirstDose,2
2022-02-14,Age18_24,UNK,FirstDose,161
2022-02-14,Age18_24,UNK,FirstDose,71
2022-02-14,Age<18,UNK,FirstDose,999
2022-02-14,Age<18,UNK,FirstDose,903
